dzielnica,cena,cena_m2,powierzchnia,rok_budowy,wlasnosc,zabudowa,stan,pietro,pietro_max,czynsz,pokoje,material,winda,rynek,ogloszeniodawca,balkon,ogrod,taras,wspolrzedne_szerokosc,wspolrzedne_wysokosc,link,odleglosc_metro,odleglosc_centrum
Targówek,780328.0,13119.0,59.48,2024.0,building_ownership::full_ownership,building_type-15::block,construction_status::to_completion,1.0,5.0,,3.0,,1,market::primary,advertiser_type::developer,0,1,0,52.280666,21.047956,https://www.otodom.pl/pl/oferta/3-pok-mieszkanie-na-i-pietrze-nowy-targowek-ID4ljIz,0.7789923735774507,6.144708683078357
Żoliborz,1100000.0,14667.0,75.0,1960.0,building_ownership::full_ownership,building_type::tenement,construction_status::to_renovation,0.0,4.0,700,3.0,building_material-69::brick,0,market::secondary,advertiser_type::agency,1,0,0,52.2671722,20.9804729,https://www.otodom.pl/pl/oferta/ciche-3-pokoje-w-kamienicy-z-loggia-ID44IyE,0.4800043008254826,4.3095243516498165
Białołęka,1150000.0,12921.0,89.0,2017.0,,,construction_status-67::ready_to_use,2.0,4.0,,4.0,,0,market::secondary,advertiser_type::agency,0,0,1,52.32059,20.97475,https://www.otodom.pl/pl/oferta/4-pokoje-szalasa-modlinska-bialoleka-ratusz-gal-po-ID4lgj1,4.519937595169236,10.108753033543655
Wilanów,2770000.0,17002.0,162.92,2006.0,building_ownership::full_ownership,building_type::apartment,construction_status-67::ready_to_use,3.0,4.0,,6.0,building_material-69::brick,1,market::secondary,advertiser_type::agency,1,0,1,52.1643913,21.07634907,https://www.otodom.pl/pl/oferta/sarmacka-sloneczne-ciche-taras-2-x-garaz-ID4lgWM,2.8528015348685174,8.88850602966317
Wilanów,990000.0,18679.0,53.0,2008.0,building_ownership::full_ownership,building_type::apartment,,3.0,4.0,750,2.0,,1,market::secondary,advertiser_type::agency,1,0,0,52.157869,21.0807072,https://www.otodom.pl/pl/oferta/miasteczko-wilanow-2-pokoje-53m2-garaz-ID4irT3,2.6920682849272386,9.660700561948174
Śródmieście,7480000.0,50313.0,148.67,2021.0,,,,6.0,6.0,,3.0,,0,market::secondary,advertiser_type::agency,0,0,0,52.2395527,21.0292112,https://www.otodom.pl/pl/oferta/penthouse-z-imponujacym-widokiem-na-wisle-flisac-ID4cFEt,0.09752403611014356,1.801720373581622
Bielany,1068000.0,19397.0,55.06,2025.0,,building_type::apartment,construction_status::to_completion,0.0,4.0,,2.0,,1,market::primary,advertiser_type::agency,1,1,1,52.28553,20.94049,https://www.otodom.pl/pl/oferta/prestizowe-miejsce-stare-bialany-ogrodek-az-77m2-ID4l8jP,0.1318629794069207,7.464052177128138
Ursynów,1050000.0,13816.0,76.0,2001.0,building_ownership::full_ownership,building_type-15::block,construction_status-67::ready_to_use,8.0,9.0,900,2.0,building_material-69::brick,1,market::secondary,advertiser_type::agency,1,0,0,52.1362303,21.0495988,https://www.otodom.pl/pl/oferta/2-pokoje-na-ursynowie-ul-stryjenskich-19-ID4kXQk,0.5560393218993062,11.025274124836063
Żoliborz,4780000.0,25699.0,186.0,2004.0,building_ownership::full_ownership,building_type::apartment,construction_status-67::ready_to_use,3.0,9.0,,4.0,building_material::other,1,market::secondary,advertiser_type::agency,1,0,1,52.26971,20.98462,https://www.otodom.pl/pl/oferta/186-m2-na-starym-zoliborzu-ID4eSi6,0.423764416017124,4.469107472064062
Targówek,1150000.0,13529.0,85.0,2020.0,building_ownership::full_ownership,building_type-15::block,construction_status-67::ready_to_use,1.0,3.0,1 300,4.0,,1,market::secondary,advertiser_type::private,1,0,0,52.27754893912783,21.08863011657714,https://www.otodom.pl/pl/oferta/eleganckie-4-pokojowe-mieszkanie-wysoki-standard-ID4kYku,1.9865601878525145,7.587192000080476
Ursynów,669000.0,14496.0,46.15,2001.0,building_ownership::co_operative_ownership,building_type-15::block,construction_status-67::ready_to_use,1.0,3.0,800,2.0,building_material::reinforced_concrete,1,market::secondary,advertiser_type::agency,1,0,0,52.1365857,21.0502547,https://www.otodom.pl/pl/oferta/2-pokoje-blisko-metra-stan-dobry-ID4l8Cl,0.4979500822234359,10.999385057576236
Bielany,849999.0,9942.0,85.5,1979.0,building_ownership::co_operative_ownership,building_type-15::block,construction_status-67::ready_to_use,,,800,4.0,,1,market::secondary,advertiser_type::agency,0,0,0,52.2819253,20.9725334,https://www.otodom.pl/pl/oferta/dwupoziomowe-4-pokoje-z-pieknym-widokiem-zoliborz-ID4j0nP,0.8906791819460868,6.030721479082928
Mokotów,777000.0,13373.0,58.1,1974.0,building_ownership::full_ownership,building_type-15::block,,1.0,10.0,600,3.0,,1,market::secondary,advertiser_type::agency,0,0,0,52.1738894,21.02454095,https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-przy-metrze-sluzew-ID4lbmX,0.5669549688219829,6.552782234938344
